Number of Hidden Nodes, Learning Rate, Activation Function, RMSE (1), RMSE (2), RMSE (3), RMSE (Average)
4, 0.05, SIGMOID, 51.92604557587142, 50.20767184050423, 51.262924950980164, 51.132214122451934
4, 0.05, TANH, 34.01200963668808, 34.85260516980011, 34.13264657231258, 34.33242045960026
4, 0.05, RELU, 38.10503852168475, 58.913056471080466, 39.82401661916524, 45.614037203976814
4, 0.1, SIGMOID, 48.417054432201645, 32.26882202526318, 33.53369364781668, 38.07319003509383
4, 0.1, TANH, 39.38495709107999, 35.54675658770928, 44.34977819542621, 39.76049729140516
4, 0.1, RELU, 56.01011731567963, 37.70709098109908, 38.1293483132175, 43.94885220333207
4, 0.15, SIGMOID, 47.04154932299243, 33.683273835313905, 33.59700526194724, 38.10727614008453
4, 0.15, TANH, 37.05443045175326, 36.344808513233346, 36.86348977601851, 36.75424291366837
4, 0.15, RELU, 49.48297335976745, 60.64827028146747, 55.84826829441784, 55.326503978550925
4, 0.2, SIGMOID, 34.2012587019951, 33.14803154960434, 34.18526367936428, 33.84485131032124
4, 0.2, TANH, 37.45805556476303, 37.51956599896117, 37.425007792179535, 37.46754311863458
4, 0.2, RELU, 49.70854531398347, 39.419654902397546, 53.7071490257866, 47.61178308072254
4, 0.25, SIGMOID, 34.205606016935675, 34.21323640435721, 34.71749246602825, 34.37877829577371
4, 0.25, TANH, 37.944436351591136, 37.88877848528513, 37.907626217691, 37.913613684855754
4, 0.25, RELU, 40.22859024755346, 39.84132752545334, 53.16344060606966, 44.41111945969215
4, 0.3, SIGMOID, 33.47341291242782, 33.608305066879765, 32.072863021588994, 33.051527000298854
4, 0.3, TANH, 38.180600700442106, 38.268267376672355, 38.182377649656324, 38.210415242256936
4, 0.3, RELU, 44.505411776681875, 61.251356674527415, 61.25809151600963, 55.67161998907297
4, 0.35, SIGMOID, 34.144083791379096, 33.58566621885681, 33.87595781035522, 33.868569273530376
4, 0.35, TANH, 37.874475345199684, 37.829896433909774, 38.009402376503395, 37.90459138520429
4, 0.35, RELU, 60.92583690420966, 42.63363469456253, 44.340604233391346, 49.300025277387846
4, 0.4, SIGMOID, 33.56064479987138, 33.74207426658441, 33.67637097630919, 33.65969668092166
4, 0.4, TANH, 37.95992615464976, 37.98217909214022, 37.964597615428204, 37.96890095407273
4, 0.4, RELU, 54.88490775443709, 53.29884865229612, 44.37163968033052, 50.85179869568791
4, 0.45, SIGMOID, 33.691863326837385, 33.759204630524216, 33.74667905410081, 33.732582337154135
4, 0.45, TANH, 37.499759843352216, 37.52010767449128, 37.53036498962159, 37.516744169155025
4, 0.45, RELU, 45.29484076515887, 54.71973880910277, 54.07790281914635, 51.36416079780266
4, 0.5, SIGMOID, 35.596218230706086, 32.29917853333194, 33.62944473326821, 33.84161383243541
4, 0.5, TANH, 37.15425731259631, 37.06938776966138, 36.820186068724155, 37.01461038366062
