Number of Hidden Nodes, Learning Rate, Activation Function, RMSE (1), RMSE (2), RMSE (3), RMSE (Average)
4, 0.025, SIGMOID, 53.4740479016, 51.87305060502323, 53.04267986951272, 52.79659279204532
4, 0.025, TANH, 42.14343805843098, 33.729635909527936, 33.69315927213254, 36.52207774669716
4, 0.025, RELU, 58.94769589889867, 38.95566886683265, 38.989951289436576, 45.63110535172263
4, 0.05, SIGMOID, 51.65596826083762, 51.492137501095584, 50.31598098289277, 51.15469558160866
4, 0.05, TANH, 33.950611487459554, 34.09499706246897, 33.951220432930235, 33.998942994286246
4, 0.05, RELU, 36.572798223894495, 43.18139615747078, 51.54114808978445, 43.76511415704991
4, 0.075, SIGMOID, 32.79874779388548, 50.81732136434191, 51.18425109287203, 44.933440083699814
4, 0.075, TANH, 34.44304521502867, 34.402694358682886, 35.118197204304266, 34.65464559267194
4, 0.075, RELU, 40.288464363673995, 52.46673195335766, 38.47406851593614, 43.74308827765592
4, 0.1, SIGMOID, 47.89643042819436, 34.08582244686153, 33.10992982128659, 38.36406089878082
4, 0.1, TANH, 35.274609635268774, 35.85690321955023, 35.51753921832731, 35.54968402438211
4, 0.1, RELU, 37.845426153769914, 40.36077328651678, 39.30635585065678, 39.170851763647825
4, 0.125, SIGMOID, 33.28531868938384, 33.47577825904033, 32.7640214226195, 33.175039457014556
4, 0.125, TANH, 36.247802414643616, 36.28019905856043, 36.15045986637038, 36.226153779858144
4, 0.125, RELU, 37.56604112126341, 38.0731717186782, 49.73532926925782, 41.79151403639981
4, 0.15, SIGMOID, 33.23131992680923, 33.64986142934064, 34.350477673970744, 33.74388634337354
4, 0.15, TANH, 36.78187489625076, 36.79553909584252, 36.81513458804868, 36.79751619338065
4, 0.15, RELU, 48.73560921308851, 38.18111672562697, 49.04362006445917, 45.320115334391545
4, 0.175, SIGMOID, 33.041435530448474, 33.0385960914225, 33.52144015716157, 33.20049059301085
4, 0.175, TANH, 37.27856777221112, 37.297779446880675, 37.407481190729435, 37.32794280327374
4, 0.175, RELU, 42.91152193878786, 38.025913431382726, 43.09301806923762, 41.34348447980273
4, 0.2, SIGMOID, 33.337939137743874, 33.216678194076266, 31.82806135772286, 32.794226229847666
4, 0.2, TANH, 37.811728880378965, 46.16207680295371, 37.673087690225806, 40.548964457852826
4, 0.2, RELU, 40.875608631251666, 64.42995350210306, 38.01165903531497, 47.77240705622324
4, 0.225, SIGMOID, 33.42611658321972, 33.221834028522345, 34.84113005875609, 33.829693556832716
4, 0.225, TANH, 37.81794003798984, 37.9352849157945, 37.94802322123705, 37.90041605834046
4, 0.225, RELU, 60.024754251655885, 54.71501794559825, 38.16800875944134, 50.969260318898485
4, 0.25, SIGMOID, 33.368942489445274, 34.690542483812706, 33.30500838592671, 33.78816445306156
4, 0.25, TANH, 37.716399293683644, 37.90954614125975, 37.82977804911468, 37.818574494686025
4, 0.25, RELU, 59.487413201494824, 40.04442305572187, 49.19999210978741, 49.5772761223347
4, 0.275, SIGMOID, 33.25443754172979, 33.525071834695545, 33.8032774641607, 33.52759561352868
4, 0.275, TANH, 38.169220698409845, 37.900611752633786, 37.923427554522355, 37.99775333518866
4, 0.275, RELU, 61.956919315864305, 64.22752033668738, 41.84486015511306, 56.00976660255491
4, 0.3, SIGMOID, 33.32817016714616, 33.18826273110022, 33.297912191869216, 33.27144836337187
4, 0.3, TANH, 37.80215971863721, 37.94137881986401, 37.85746879156252, 37.86700244335458
4, 0.3, RELU, 44.4516643338257, 49.26607544258774, 42.8593774759386, 45.525705750784006
4, 0.325, SIGMOID, 32.51576105950549, 33.793150643528925, 33.725349501216364, 33.34475373475026
